Parametry projektu;ELTEP - tispl - [brno.tispl]
Požadované celkové množství;20000
Poèet pracovních dní [rok];365
Poèet pracovních hodin [den];8
Efektivita [%];95
Zaèátek výroby;12.02.2018 8:00:00
Délka vozíku;3

Pøehled pohonù;
ID;Název;Rychlost od [m/min];Rychlost do [m/min];Rozteè palcù [mm];
1;hl_pohon;0,1;8;270;
2;degreasing;0,1;8;19,05;
3;lak_kabina;0,1;1,2;19,05;

Architekt: Pøehled objektù a jejich parametrùID;Název;Zkratka;Režim;CT [s];Kapacita doporuèená;Kapacita nastavená;Název pohonu;Rychlost pohonu [m/min];>Rozsah pohonu [m/min];Rozteè palcù [mm];>Délka kabiny [m];Mezera mezi vozíky [m]
0;navìšování;NAV;STOP & GO;300;1;0;hl_pohon;nerelevantní;0,1-8;270;nerelevantní;0
11;odmastovak;ODMA;POSTPROCESNÍ;900;5;0;degreasing;nerelevantní;0,1-8;19,05;15;0
5;sušení;SUŠ;POSTPROCESNÍ;1200;3;0;hl_pohon;nerelevantní;0,1-8;270;10,08;0,54
9;pøejezd 1;PØE1;KONTINUÁLNÍ;300;1;0;hl_pohon;0,6;0,1-8;270;3;0
9;pøejezd2;PØE2;KONTINUÁLNÍ;300;1;0;hl_pohon;0,6;0,1-8;270;3;0
9;pøejezd3;PØE3;STOP & GO;300;1;0;hl_pohon;nerelevantní;0,1-8;270;nerelevantní;0
3;lakování;LAK1;KONTINUÁLNÍ;300;1;0;lak_kabina;0,6;0,1-1,2;19,05;3;0
7;buffer;BUF;STOP & GO;0;1;0;hl_pohon;nerelevantní;0,1-8;270;nerelevantní;0
3;lakování;LAK2;STOP & GO;300;1;0;lak_kabina;nerelevantní;0,1-1,2;19,05;nerelevantní;0
9;pøejezd;PRE;STOP & GO;300;1;0;hl_pohon;nerelevantní;0,1-8;270;nerelevantní;0
5;sušení;SUŠ;POSTPROCESNÍ;300;1;0;hl_pohon;nerelevantní;0,1-8;270;3;0
6;chlazení;CHL;POSTPROCESNÍ;300;1;0;hl_pohon;nerelevantní;0,1-8;270;3;0
9;pøejezd;PRE;STOP & GO;300;1;0;hl_pohon;nerelevantní;0,1-8;270;nerelevantní;0
9;pøejezd;PRE;STOP & GO;300;1;0;hl_pohon;nerelevantní;0,1-8;270;nerelevantní;0
9;pøejezd;PRE;STOP & GO;300;1;0;hl_pohon;nerelevantní;0,1-8;270;nerelevantní;0
11;svìšování;SVÌŠ;STOP & GO;300;1;0;hl_pohon;nerelevantní;0,1-8;270;nerelevantní;0
</tbody></table></br></form></div></br>